vvweight,college,medicare_expand,repeal_aca,regulate_carbon,prefertrump
1.0486426,1,1,0,1,0
1.0844552,0,0,1,0,1
1.351706,0,0,1,1,1
1.3974731,1,1,0,1,0
.45821089,1,1,0,1,0
.6110268,1,1,0,1,1
1.0675996,1,0,1,0,1
.70986887,1,0,0,1,0
.67062962,0,1,0,1,0
.41697944,0,1,0,1,0
.96913153,0,0,1,0,1
.85461194,1,1,0,1,0
1.2433654,1,0,1,0,1
1.2541111,1,0,1,1,1
.83480312,1,1,0,1,0
.69622951,0,1,0,1,0
.60925347,1,0,0,1,0
1.3541374,1,0,1,1,1
.79713398,0,0,0,1,0
.6695412,1,1,0,1,0
.60452246,0,1,0,1,0
.75738528,1,0,0,1,0
1.258367,1,1,0,1,0
1.1649816,1,0,1,0,1
.71988242,1,1,0,1,0
1.0519169,0,0,1,0,1
.65736609,1,1,0,1,0
1.0278379,1,0,1,0,1
.41209046,1,1,0,1,0
1.1411761,0,0,1,1,1
.71866685,0,1,0,1,0
1.018419,1,0,1,0,1
.84297803,0,0,1,0,1
.38366235,1,1,1,1,0
.52460366,0,1,1,1,1
.98621853,0,0,1,0,1
.51456606,0,1,1,0,1
.75252595,0,1,0,1,0
.31970536,0,1,0,1,0
.59107898,1,1,0,1,0
.47206802,1,1,0,1,0
.55406535,1,1,0,1,0
1.0393514,1,0,1,0,1
.81370128,1,1,0,1,0
.88157993,1,1,0,1,0
1.047372,1,0,1,0,1
.7517131,1,1,0,1,0
.64158728,0,0,0,1,0
.72628835,1,1,0,1,0
.46004033,1,1,0,1,0
.57446627,1,0,1,0,1
1.3893102,1,0,1,0,1
.32238881,1,0,1,0,1
.93633947,0,1,0,1,0
.20601542,1,1,0,1,0
.91007128,1,1,0,1,0
.97370297,0,1,0,1,0
.84632977,1,1,0,1,0
.66657003,1,0,0,1,0
.75971431,1,0,0,0,1
1.1493082,0,0,1,0,1
1.0701795,1,1,1,1,1
1.0546374,1,0,1,0,1
.76778037,1,0,0,1,0
.55406535,1,1,0,1,0
1.3706232,1,1,0,0,0
.71866685,0,1,0,1,0
1.498064,1,1,0,1,0
.36061142,0,0,0,0,0
.44741825,0,1,0,1,0
.66836872,0,0,0,0,1
1.2264341,0,0,1,0,1
1.2362213,1,0,1,0,1
.88502191,1,1,0,1,0
.90223487,1,1,0,1,0
.40845352,0,0,1,0,1
1.4309083,0,0,1,0,1
1.5381041,0,0,1,0,1
1.03174,1,1,0,1,0
.15282791,0,0,1,0,1
1.6217886,1,0,1,0,1
1.2356229,1,0,1,0,1
.96721918,1,0,0,1,0
1.8336193,1,1,1,1,1
.97098718,1,1,0,1,0
.61798883,0,1,0,1,0
.92029757,0,0,1,0,1
.67098538,1,1,0,1,0
1.3532978,0,0,1,0,1
.72807762,1,1,0,1,0
1.0591242,1,1,0,1,0
1.0407623,1,1,0,1,0
1.1413372,0,0,1,0,1
1.1859854,0,1,0,1,0
.69894479,1,0,0,1,0
.48094945,0,0,1,0,1
1.0749654,1,1,0,1,0
.88281145,1,0,1,0,1
.89557642,1,0,0,1,0
.79716938,0,1,0,1,0
1.1628647,1,0,1,1,1
.03729092,1,1,0,1,0
.75738528,1,0,0,1,0
.74566261,1,0,1,0,1
